repo,id,symptom_annotator_1,symptom_annotator_2,symptom_annotator_3,symptom_annotator_4,symptom_annotator_5,symptom_final,rootcause_annotator_1,rootcause_annotator_2,rootcause_annotator_3,rootcause_annotator_4,rootcause_annotator_5,rootcause_final,entity_annotator_1,entity_annotator_2,entity_annotator_3,entity_annotator_4,entity_annotator_5,entity_final
GodotVR/godot-xr-tools,746,VF,VF,VF,VF,VF,VF,ICFM,ICFM,ICFM,ICFM,RLM,ICFM,L5,L5,L5,L5,L5,L5
GodotVR/godot-xr-tools,748,AF,AF,AF,AF,AF,AF,RLM,IAC,IAC,IAC,IAC,IAC,L4,L4,L4,L4,L4,L4
GodotVR/godot-xr-tools,754,IC,IC,IC,IC,IC,IC,IAC,IAC,ICFM,IAC,IAC,IAC,L1,L1,L1,L1,L1,L1
GodotVR/godot-xr-tools,756,SD,RA,SD,SD,SD,SD,RLM,RLM,RLM,RLM,RLM,RLM,L4,L4,L4,L4,L4,L4
GodotVR/godot_openvr,106,SD,SD,SD,SD,SD,SD,GCE,IIV,GCE,GCE,GCE,GCE,L5,L5,L5,L5,L1,L5
GodotVR/godot_openxr_for_godot_3.x,8,VF,VF,VF,VF,VF,VF,IIV,IIV,IIV,IIV,IIV,IIV,L5,L2,L5,L5,L5,L5
GodotVR/godot_openxr_vendors,122,SD,SD,SD,SD,SD,SD,IIV,IIV,UPF,IIV,IIV,IIV,L4,L4,L4,L4,L4,L4
GodotVR/godot_openxr_vendors,252,AF,AF,AF,AF,AF,AF,UPF,UPF,UPF,UPF,UPF,UPF,L4,L4,L4,L4,L4,L4
HARPLab/DReyeVR,6,SD,SD,SD,SD,SD,SD,IIV,RLM,IIV,IIV,IIV,IIV,L1,L1,L1,L1,L1,L1
HIVE-ResearchGroup/OpenXR_Varjo_Template,19,SD,SD,SD,SD,SD,SD,IIV,IIV,IIV,IIV,IIV,IIV,L5,L5,L5,L5,L5,L5
HipsterSloth/PSMoveSteamVRBridge,4,RA,SD,SD,SD,SD,SD,TDI,GCE,GCE,GCE,GCE,GCE,L1,L1,L1,L1,L1,L1
Hotrian/OpenVRDesktopDisplayPortal,7,VF,AF,RA,AF,AF,AF,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L3,L3,L3,L3,L3,L3
Hotrian/OpenVRDesktopDisplayPortal,25,SD,AF,SD,SD,SD,SD,RLM,RLM,RLM,RLM,RLM,RLM,L4,L1,L4,L4,L4,L4
Hotrian/OpenVRDesktopDisplayPortal,38,AF,AF,AF,AF,AF,AF,UPF,UPF,UPF,TDI,TDI,UPF,L3,L3,L3,L3,L3,L3
Hotrian/OpenVRDesktopDisplayPortal,44,SD,SD,RS,SD,SD,SD,ICFM,UPF,ICFM,ICFM,ICFM,ICFM,L3,L1,L1,L1,L1,L1
IBM/vr-speech-sandbox-rift,17,RA,RS,RS,VF,RS,RS,TDI,TDI,TDI,TDI,TDI,TDI,L5,L5,L5,L5,L5,L5
IdeaSpaceVR/IdeaSpace,70,IC,RA,SD,IC,IC,IC,IAC,IIV,IAC,IAC,IAC,IAC,L2,L3,L3,L3,L3,L3
IdeaSpaceVR/aframe-particle-system-component,57,AF,AF,AF,AF,AF,AF,IIV,IIV,IIV,IIV,TDI,IIV,L4,L4,L4,L4,L4,L4
JohnBacho/VIBES-LAB,17,SD,SD,SD,SD,SD,SD,GCE,GCE,GCE,GCE,GCE,GCE,L3,L3,L3,L3,L3,L3
Kariaro/VRigUnity,55,VF,AF,AF,AF,AF,AF,UPF,UPF,UPF,UPF,UPF,UPF,L5,L5,L5,L5,L5,L5
Kariaro/VRigUnity,97,AF,AF,AF,AF,AF,AF,IIV,IIV,IIV,IIV,IIV,IIV,L3,L3,L3,L3,L3,L3
KhronosGroup/OpenXR-CTS,25,RA,RA,RA,RA,RA,RA,IIV,GCE,GCE,GCE,GCE,GCE,L5,L5,L5,L2,L5,L5
KozGit/DOOM-3-BFG-VR,17,VF,VF,VF,VF,RA,VF,RLM,RLM,RLM,RLM,RLM,RLM,L5,L5,L5,L5,L5,L5
KozGit/DOOM-3-BFG-VR,18,VF,VF,VF,VF,VF,VF,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L5,L5,L5,L5,L5,L5
KozGit/DOOM-3-BFG-VR,30,SD,SD,SD,SD,SD,SD,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L4,L4,L4,L4,L4,L4
KozGit/DOOM-3-BFG-VR,35,SD,SD,SD,SD,VF,SD,IAC,UPF,IAC,IAC,RLM,IAC,L2,L2,L2,L2,L2,L2
KozGit/DOOM-3-BFG-VR,62,IC,IC,RA,IC,RA,IC,IAC,IAC,IAC,IAC,IAC,IAC,L4,L5,L1,L1,L1,L1
KozGit/DOOM-3-BFG-VR,82,RS,RS,RS,RS,RS,RS,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L5,L3,L5,L5,L5,L5
KozGit/DOOM-3-BFG-VR,97,SD,SD,SD,SD,SD,SD,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L4,L4,L4,L4,L4,L4
KozGit/DOOM-3-BFG-VR,120,RS,RS,RS,RS,RS,RS,TDI,TDI,TDI,TDI,TDI,TDI,L5,L5,L5,L5,L5,L5
KozGit/DOOM-3-BFG-VR,128,SD,SD,SD,SD,SD,SD,IAC,IAC,IAC,IAC,IAC,IAC,L1,L1,L1,L1,L1,L1
KozGit/DOOM-3-BFG-VR,130,IC,IC,IC,IC,IC,IC,RLM,RLM,RLM,RLM,RLM,RLM,L3,L3,L3,L3,L3,L3
KozGit/DOOM-3-BFG-VR,164,RS,RS,RS,RS,RS,RS,IAC,IAC,IAC,IAC,IAC,IAC,L1,L1,L1,L1,L1,L1
KozGit/DOOM-3-BFG-VR,171,SD,SD,SD,SD,SD,SD,IAC,ICFM,IAC,IAC,IAC,IAC,L4,L4,L4,L4,L4,L4
KozGit/DOOM-3-BFG-VR,174,IC,IC,RS,IC,IC,IC,IAC,IAC,IAC,IAC,IAC,IAC,L1,L1,L1,L1,L4,L1
KozGit/DOOM-3-BFG-VR,175,IC,IC,IC,IC,IC,IC,TDI,TDI,TDI,TDI,TDI,TDI,L3,L3,L3,L3,L3,L3
KozGit/DOOM-3-BFG-VR,192,IC,SD,IC,IC,RA,IC,TDI,TDI,TDI,TDI,TDI,TDI,L1,L1,L1,L1,L1,L1
KozGit/DOOM-3-BFG-VR,193,SD,SD,SD,SD,SD,SD,UPF,UPF,UPF,UPF,UPF,UPF,L2,L2,L2,L2,L4,L2
KozGit/DOOM-3-BFG-VR,278,SD,SD,SD,SD,SD,SD,GCE,GCE,GCE,GCE,GCE,GCE,L2,L2,L2,L2,L5,L2
LivingFray/HaloCEVR,33,SD,SD,SD,SD,SD,SD,UPF,UPF,UPF,UPF,UPF,UPF,L3,L3,L3,L3,L3,L3
LivingFray/HaloCEVR,100,SD,SD,SD,SD,SD,SD,GCE,GCE,GCE,GCE,GCE,GCE,L3,L3,L3,L3,L3,L3
Logitech/labs_mrkeyboard_sdk,1,SD,SD,SD,SD,SD,SD,UPF,UPF,UPF,UPF,UPF,UPF,L5,L5,L5,L5,L5,L5
LucidVR/opengloves-driver,103,AF,AF,AF,AF,AF,AF,GCE,GCE,GCE,GCE,GCE,GCE,L1,L1,L1,L1,L1,L1
Lynx-MR/UnitySDK,13,IC,IC,RS,IC,IC,IC,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L3,L3,L3,L3,L3,L3
Mattshark89/OpenFlight-VRC,27,SD,SD,SD,SD,SD,SD,GCE,GCE,GCE,GCE,GCE,GCE,L2,L3,L1,L2,L2,L2
Mattshark89/OpenFlight-VRC,30,RS,RS,RS,RS,RS,RS,GCE,GCE,GCE,GCE,GCE,GCE,L4,L2,L1,L5,L2,L2
Mattshark89/OpenFlight-VRC,109,SD,SD,SD,SD,SD,SD,RLM,RLM,RLM,RLM,RLM,RLM,L2,L1,L2,L2,L2,L2
MephestoKhaan/HandPosing,25,IC,IC,IC,IC,IC,IC,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L1,L1,L4,L1,L1,L1
MerryPlace/NMSVRscreenshotfix-GUI-Version,8,AF,IC,AF,AF,AF,AF,UPF,UPF,GCE,GCE,UPF,UPF,L3,L3,L3,L3,L3,L3
MindPort-GmbH/VR-Builder,81,IC,IC,IC,IC,IC,IC,IAC,IAC,IAC,IAC,IAC,IAC,L2,L2,L2,L2,L3,L2
MindPort-GmbH/VR-Builder,262,IC,IC,IC,IC,IC,IC,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L1,L1,L1,L1,L1,L1
MolotovCherry/virtual-display-rs,18,RA,RA,RA,RA,RA,RA,IAC,IAC,IAC,IAC,IAC,IAC,L5,L3,L5,L5,L5,L5
MolotovCherry/virtual-display-rs,24,AF,AF,AF,AF,AF,AF,GCE,GCE,GCE,GCE,GCE,GCE,L3,L3,L3,L3,L3,L3
MozillaReality/WebXR-emulator-extension,32,VF,AF,VF,VF,VF,VF,GCE,GCE,GCE,GCE,GCE,GCE,L1,L1,L1,L1,L1,L1
MozillaReality/WebXR-emulator-extension,77,AF,AF,AF,IC,RA,AF,ICFM,RLM,RLM,RLM,RLM,RLM,L1,L1,L1,L1,L1,L1
MozillaReality/WebXR-emulator-extension,96,AF,AF,AF,AF,AF,AF,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L3,L3,L3,L3,L3,L3
MozillaReality/WebXR-emulator-extension,121,RS,IC,IC,IC,IC,IC,TDI,TDI,TDI,TDI,TDI,TDI,L1,L1,L1,L1,L1,L1
MozillaReality/WebXR-emulator-extension,138,AF,AF,AF,AF,AF,AF,RLM,RLM,RLM,RLM,RLM,RLM,L5,L5,L5,L5,L5,L5
MozillaReality/WebXR-emulator-extension,184,IC,IC,IC,RS,IC,IC,IAC,ICFM,ICFM,ICFM,ICFM,ICFM,L1,L1,L1,L1,L1,L1
MozillaReality/WebXR-emulator-extension,186,VF,VF,VF,VF,VF,VF,GCE,TDI,GCE,GCE,GCE,GCE,L1,L5,L5,L5,L5,L5
MozillaReality/WebXR-emulator-extension,199,SD,SD,SD,SD,SD,SD,IIV,IIV,IAC,IIV,RLM,IIV,L1,L2,L1,L1,L1,L1
MozillaReality/WebXR-emulator-extension,219,AF,AF,AF,AF,AF,AF,ICFM,TDI,ICFM,ICFM,ICFM,ICFM,L3,L3,L3,L3,L3,L3
NeoSpark314/BeepSaber,1,IC,IC,IC,IC,IC,IC,IAC,IAC,IAC,IAC,IAC,IAC,L2,L1,L2,L2,L2,L2
NeoSpark314/BeepSaber,3,AF,AF,AF,AF,AF,AF,RLM,RLM,RLM,RLM,RLM,RLM,L5,L3,L3,L3,L3,L3
NeoSpark314/BeepSaber,6,AF,AF,AF,AF,RS,AF,RLM,RLM,RLM,RLM,RLM,RLM,L3,L4,L3,L3,L3,L3
NeoSpark314/BeepSaber,16,IC,IC,IC,IC,IC,IC,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L3,L3,L3,L3,L3,L3
NeoSpark314/godot_oculus_quest_toolkit,16,RA,RA,RA,RA,RA,RA,GCE,GCE,GCE,GCE,GCE,GCE,L4,L4,L4,L4,L4,L4
NeoSpark314/godot_oculus_quest_toolkit,20,IC,IC,IC,IC,AF,IC,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L1,L1,L1,L1,L1,L1
NeoSpark314/godot_oculus_quest_toolkit,22,VF,SD,SD,SD,SD,SD,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L3,L3,L3,L3,L3,L3
NeoSpark314/godot_oculus_quest_toolkit,61,SD,SD,SD,SD,SD,SD,GCE,GCE,GCE,RLM,GCE,GCE,L2,L2,L2,L2,L2,L2
NgoJunHaoJason/CZ4001,43,SD,AF,SD,SD,SD,SD,RLM,IIV,IIV,IIV,IIV,IIV,L4,L4,L4,L4,L4,L4
Nyabsi/VRCAA,76,AF,AF,AF,AF,AF,AF,IIV,IIV,IIV,IIV,IIV,IIV,L3,L3,L3,L3,L3,L3
Okabintaro/SubmersedVR,8,SD,SD,SD,SD,SD,SD,GCE,ICFM,ICFM,ICFM,ICFM,ICFM,L3,L3,L3,L3,L3,L3
Okabintaro/SubmersedVR,9,RS,RS,RS,RS,RS,RS,GCE,GCE,UPF,GCE,GCE,GCE,L5,L5,L5,L5,L5,L5
Okabintaro/SubmersedVR,14,VF,VF,VF,VF,VF,VF,IIV,IIV,IIV,IIV,IIV,IIV,L2,L2,L2,L2,L2,L2
Okabintaro/SubmersedVR,16,AF,AF,AF,AF,AF,AF,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L1,L1,L1,L4,L1,L1
OpenHMD/OpenHMD,4,AF,AF,AF,AF,AF,AF,RLM,RLM,ICFM,RLM,RLM,RLM,L4,L5,L5,L5,L5,L5
OpenHMD/OpenHMD,219,VF,VF,VF,VF,VF,VF,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L5,L5,L5,L5,L5,L5
OpenKneeboard/OpenKneeboard,40,RS,AF,AF,AF,AF,AF,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L4,L3,L3,L3,L3,L3
OpenKneeboard/OpenKneeboard,56,AF,RS,AF,AF,AF,AF,GCE,GCE,GCE,RLM,GCE,GCE,L3,L3,L3,L1,L3,L3
OpenKneeboard/OpenKneeboard,106,IC,VF,VF,VF,VF,VF,IAC,UPF,GCE,RLM,UPF,UPF,L3,L3,L3,L3,L3,L3
OpenKneeboard/OpenKneeboard,128,IC,IC,IC,IC,IC,IC,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L3,L3,L3,L3,L3,L3
OpenKneeboard/OpenKneeboard,146,SD,SD,SD,SD,VF,SD,RLM,ICFM,ICFM,ICFM,ICFM,ICFM,L3,L3,L3,L3,L3,L3
OpenKneeboard/OpenKneeboard,213,IC,IC,IC,IC,IC,IC,RLM,RLM,RLM,RLM,RLM,RLM,L3,L3,L3,L3,L3,L3
OpenKneeboard/OpenKneeboard,258,SD,SD,SD,SD,SD,SD,IIV,IIV,IIV,IIV,IIV,IIV,L3,L2,L3,L3,L3,L3
OpenKneeboard/OpenKneeboard,359,RA,RA,RA,RA,RA,RA,UPF,UPF,UPF,UPF,UPF,UPF,L5,L3,L5,L5,L5,L5
OpenKneeboard/OpenKneeboard,417,SD,SD,SD,SD,SD,SD,GCE,GCE,IIV,GCE,GCE,GCE,L3,L3,L3,L3,L3,L3
OpenKneeboard/OpenKneeboard,443,VF,SD,RS,SD,SD,SD,GCE,GCE,GCE,GCE,GCE,GCE,L1,L3,L3,L3,L3,L3
OpenKneeboard/OpenKneeboard,491,AF,AF,AF,AF,AF,AF,GCE,TDI,GCE,GCE,GCE,GCE,L3,L3,L3,L3,L3,L3
OpenKneeboard/OpenKneeboard,506,SD,SD,SD,SD,SD,SD,IIV,RLM,IIV,RLM,GCE,RLM,L4,L3,L3,L3,L3,L3
OpenKneeboard/OpenKneeboard,517,AF,AF,AF,AF,AF,AF,RLM,RLM,RLM,RLM,RLM,RLM,L3,L3,L3,L3,L3,L3
OpenKneeboard/OpenKneeboard,797,SD,SD,SD,SD,SD,SD,RLM,RLM,RLM,RLM,RLM,RLM,L5,L5,L5,L3,L5,L5
OpenVR-Advanced-Settings/OpenVR-AdvancedSettings,16,AF,AF,AF,AF,AF,AF,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L3,L5,L3,L3,L3,L3
OpenVR-Advanced-Settings/OpenVR-AdvancedSettings,33,AF,AF,AF,IC,AF,AF,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L3,L3,L3,L3,L3,L3
OpenVR-Advanced-Settings/OpenVR-AdvancedSettings,101,AF,AF,AF,AF,AF,AF,RLM,RLM,RLM,GCE,RLM,RLM,L1,L1,L1,L1,L1,L1
OpenVR-Advanced-Settings/OpenVR-AdvancedSettings,106,IC,IC,IC,IC,IC,IC,RLM,TDI,RLM,RLM,RLM,RLM,L3,L3,L3,L3,L3,L3
OpenVR-Advanced-Settings/OpenVR-AdvancedSettings,133,SD,SD,SD,SD,RS,SD,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L1,L1,L1,L1,L1,L1
OpenVR-Advanced-Settings/OpenVR-AdvancedSettings,145,IC,IC,IC,IC,IC,IC,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L1,L1,L1,L1,L1,L1
OpenVR-Advanced-Settings/OpenVR-AdvancedSettings,237,SD,SD,SD,SD,SD,SD,UPF,UPF,UPF,UPF,UPF,UPF,L4,L3,L3,L3,L3,L3
OpenVR-Advanced-Settings/OpenVR-AdvancedSettings,264,IC,IC,IC,IC,IC,IC,IAC,IAC,IAC,IAC,IAC,IAC,L3,L3,L3,L3,L3,L3
OpenVR-Advanced-Settings/OpenVR-AdvancedSettings,311,AF,AF,IC,AF,AF,AF,RLM,RLM,RLM,RLM,RLM,RLM,L3,L1,L3,L3,L3,L3
OpenVR-Advanced-Settings/OpenVR-AdvancedSettings,319,AF,AF,AF,AF,AF,AF,TDI,TDI,TDI,TDI,TDI,TDI,L5,L4,L5,L5,L5,L5
OpenVR-Advanced-Settings/OpenVR-AdvancedSettings,401,AF,AF,AF,AF,AF,AF,UPF,UPF,UPF,UPF,IIV,UPF,L3,L3,L3,L3,L3,L3
OpenVR-Advanced-Settings/OpenVR-AdvancedSettings,412,AF,AF,SD,AF,AF,AF,IAC,IAC,IAC,IAC,UPF,IAC,L3,L3,L3,L3,L3,L3
OpenVR-Advanced-Settings/OpenVR-AdvancedSettings,458,SD,SD,SD,SD,SD,SD,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L3,L3,L3,L3,L3,L3
OpenVR-Advanced-Settings/OpenVR-AdvancedSettings,482,VF,VF,VF,VF,VF,VF,UPF,UPF,UPF,UPF,UPF,UPF,L1,L1,L1,L1,L4,L1
OpenVR-Advanced-Settings/OpenVR-AdvancedSettings,503,SD,SD,SD,SD,SD,SD,ICFM,UPF,ICFM,ICFM,ICFM,ICFM,L2,L2,L2,L2,L2,L2
OpenVR-Advanced-Settings/OpenVR-AdvancedSettings,560,SD,SD,IC,SD,SD,SD,GCE,GCE,GCE,GCE,GCE,GCE,L3,L3,L3,L3,L3,L3
PhoneVR-Developers/PhoneVR,82,VF,VF,VF,VF,VF,VF,IAC,IAC,IAC,IAC,IAC,IAC,L5,L5,L5,L5,L5,L5
PhoneVR-Developers/PhoneVR,323,VF,VF,VF,VF,VF,VF,IIV,IIV,IIV,IIV,IIV,IIV,L5,L5,L5,L5,L5,L5
PlumCantaloupe/circlesxr,8,IC,IC,IC,IC,IC,IC,RLM,RLM,RLM,RLM,TDI,RLM,L4,L4,L4,L4,L4,L4
PlumCantaloupe/circlesxr,17,IC,IC,IC,IC,IC,IC,IAC,IAC,IAC,IAC,IAC,IAC,L1,L1,L1,L1,L1,L1
PlumCantaloupe/circlesxr,48,IC,IC,IC,IC,IC,IC,RLM,RLM,RLM,RLM,RLM,RLM,L1,L1,L1,L1,L1,L1
PlumCantaloupe/circlesxr,54,AF,AF,VF,AF,AF,AF,UPF,UPF,UPF,UPF,UPF,UPF,L5,L5,L4,L5,L5,L5
PlumCantaloupe/circlesxr,161,SD,VF,SD,SD,SD,SD,UPF,UPF,UPF,UPF,UPF,UPF,L4,L4,L4,L4,L4,L4
PlumCantaloupe/circlesxr,209,SD,SD,SD,SD,SD,SD,TDI,TDI,TDI,TDI,TDI,TDI,L3,L3,L2,L3,L3,L3
Project-Babble/Baballonia,122,VF,VF,VF,VF,VF,VF,ICFM,IAC,ICFM,ICFM,ICFM,ICFM,L5,L5,L5,L3,L5,L5
Project-Babble/Baballonia,138,AF,AF,AF,AF,AF,AF,UPF,UPF,UPF,UPF,RLM,UPF,L3,L3,L3,L3,L3,L3
Project-Babble/ProjectBabble,4,VF,VF,VF,VF,VF,VF,IAC,IAC,IAC,IAC,IAC,IAC,L5,L5,L5,L5,L5,L5
Project-Babble/ProjectBabble,114,IC,IC,IC,IC,IC,IC,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L3,L3,L3,L3,L3,L3
REDSIM/VRCLightVolumes,54,RA,RA,RA,RA,RA,RA,ICFM,ICFM,IAC,ICFM,ICFM,ICFM,L4,L4,L2,L4,L4,L4
RViMLab/vrviz,17,SD,SD,SD,SD,SD,SD,GCE,GCE,GCE,GCE,GCE,GCE,L3,L3,L3,L3,L3,L3
Raicuparta/nomai-vr,98,RA,RA,RA,RA,VF,RA,UPF,UPF,GCE,UPF,UPF,UPF,L5,L5,L5,L5,L5,L5
Raicuparta/nomai-vr,99,SD,SD,SD,SD,SD,SD,ICFM,ICFM,ICFM,RLM,ICFM,ICFM,L3,L3,L3,L3,L3,L3
Raicuparta/nomai-vr,118,SD,SD,SD,SD,SD,SD,GCE,GCE,GCE,GCE,GCE,GCE,L5,L2,L5,L5,L2,L5
Raicuparta/nomai-vr,142,IC,IC,IC,IC,IC,IC,ICFM,ICFM,ICFM,IAC,ICFM,ICFM,L1,L1,L1,L1,L1,L1
Raicuparta/nomai-vr,192,SD,SD,SD,SD,SD,SD,ICFM,GCE,ICFM,ICFM,ICFM,ICFM,L3,L3,L3,L3,L3,L3
Raicuparta/nomai-vr,218,IC,IC,IC,IC,IC,IC,IAC,IAC,IAC,IAC,IAC,IAC,L1,L1,L1,L1,L1,L1
Raicuparta/nomai-vr,238,AF,AF,AF,AF,AF,AF,UPF,UPF,UPF,UPF,UPF,UPF,L3,L3,L3,L3,L3,L3
Raicuparta/nomai-vr,243,RA,RA,RA,RA,RA,RA,ICFM,ICFM,IAC,ICFM,ICFM,ICFM,L3,L1,L3,L3,L3,L3
Raicuparta/nomai-vr,251,AF,AF,AF,AF,AF,AF,UPF,UPF,UPF,UPF,UPF,UPF,L3,L3,L3,L3,L3,L3
Raicuparta/nomai-vr,265,IC,IC,IC,IC,IC,IC,UPF,UPF,UPF,UPF,UPF,UPF,L3,L3,L3,L3,L3,L3
Raicuparta/nomai-vr,269,SD,SD,SD,SD,SD,SD,UPF,UPF,UPF,UPF,UPF,UPF,L3,L3,L3,L3,L3,L3
Raicuparta/nomai-vr,287,SD,SD,SD,SD,SD,SD,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L1,L1,L1,L1,L4,L1
Raicuparta/nomai-vr,356,IC,IC,IC,IC,IC,IC,ICFM,ICFM,ICFM,IIV,ICFM,ICFM,L2,L2,L2,L2,L2,L2
Raicuparta/nomai-vr,372,IC,IC,IC,IC,IC,IC,IAC,IAC,IAC,TDI,IAC,IAC,L1,L1,L1,L1,L1,L1
Raicuparta/nomai-vr,385,VF,VF,VF,VF,VF,VF,RLM,IIV,RLM,RLM,RLM,RLM,L5,L5,L5,L5,L5,L5
Raicuparta/nomai-vr,391,VF,VF,VF,VF,VF,VF,IAC,IAC,IAC,IAC,IAC,IAC,L5,L5,L5,L5,L5,L5
Raicuparta/nomai-vr,402,RA,RA,RA,RA,RA,RA,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L4,L4,L4,L3,L4,L4
Raicuparta/nomai-vr,408,SD,SD,SD,SD,SD,SD,RLM,RLM,RLM,RLM,RLM,RLM,L2,L5,L5,L5,L5,L5
Raicuparta/two-forks-vr,27,SD,SD,SD,SD,SD,SD,TDI,TDI,TDI,IIV,TDI,TDI,L2,L2,L2,L2,L2,L2
Raicuparta/two-forks-vr,57,RA,RA,RA,RA,RA,RA,UPF,UPF,UPF,UPF,UPF,UPF,L3,L3,L3,L3,L3,L3
Raicuparta/two-forks-vr,83,SD,SD,SD,RA,SD,SD,RLM,RLM,RLM,RLM,RLM,RLM,L4,L4,L4,L4,L4,L4
Raicuparta/two-forks-vr,128,IC,IC,IC,IC,IC,IC,TDI,ICFM,TDI,TDI,TDI,TDI,L3,L3,L3,L3,L3,L3
Raicuparta/two-forks-vr,131,AF,AF,AF,AF,AF,AF,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L3,L3,L1,L3,L3,L3
Raicuparta/two-forks-vr,132,IC,SD,IC,IC,IC,IC,ICFM,ICFM,ICFM,IAC,ICFM,ICFM,L3,L3,L3,L3,L3,L3
Raicuparta/two-forks-vr,157,AF,AF,AF,AF,AF,AF,GCE,TDI,TDI,TDI,TDI,TDI,L3,L4,L3,L3,L3,L3
Raicuparta/two-forks-vr,175,RA,RA,RA,RA,RA,RA,RLM,RLM,RLM,RLM,RLM,RLM,L4,L4,L4,L4,L4,L4
Raicuparta/two-forks-vr,184,VF,VF,RA,VF,VF,VF,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L5,L5,L5,L5,L5,L5
Raicuparta/two-forks-vr,215,SD,SD,SD,SD,SD,SD,ICFM,ICFM,RLM,ICFM,ICFM,ICFM,L1,L1,L1,L1,L1,L1
Raphiiko/OyasumiVR,105,AF,AF,AF,AF,AF,AF,RLM,UPF,UPF,UPF,UPF,UPF,L3,L3,L3,L3,L3,L3
Raphiiko/OyasumiVR,159,AF,AF,AF,AF,AF,AF,UPF,UPF,UPF,UPF,UPF,UPF,L3,L3,L3,L3,L3,L3
ReactVision/viro,272,IC,IC,IC,IC,IC,IC,IAC,IAC,TDI,IAC,IAC,IAC,L1,L1,L1,L3,L1,L1
Sacchan-VRC/MS-VRCSA-Billiards,8,SD,SD,SD,SD,SD,SD,GCE,GCE,GCE,GCE,GCE,GCE,L4,L1,L4,L4,L4,L4
Sacchan-VRC/MS-VRCSA-Billiards,14,SD,SD,SD,SD,SD,SD,RLM,RLM,RLM,TDI,RLM,RLM,L4,L4,L4,L4,L4,L4
Samsung/GearVRf,3,RA,RA,RA,RA,RA,RA,IIV,IIV,IIV,IIV,IIV,IIV,L3,L2,L4,L3,L3,L3
Samsung/GearVRf,123,RA,RA,RA,RA,RA,RA,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L4,L4,L4,L4,L4,L4
Samsung/GearVRf,257,IC,IC,IC,IC,IC,IC,RLM,IIV,RLM,RLM,UPF,RLM,L3,L3,L3,L3,L3,L3
Samsung/GearVRf,280,SD,RS,SD,SD,SD,SD,TDI,GCE,IAC,GCE,GCE,GCE,L4,L4,L4,L4,L4,L4
Samsung/GearVRf,306,VF,VF,VF,VF,VF,VF,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L5,L5,L5,L5,L5,L5
Samsung/GearVRf,311,SD,RS,RS,RS,RS,RS,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L5,L5,L5,L5,L5,L5
Samsung/GearVRf,413,AF,AF,AF,AF,AF,AF,ICFM,ICFM,IAC,ICFM,ICFM,ICFM,L4,L4,L4,L4,L4,L4
Samsung/GearVRf,448,RS,RA,RA,RA,RA,RA,IAC,RLM,RLM,RLM,RLM,RLM,L4,L4,L4,L4,L4,L4
Samsung/GearVRf,471,RS,RS,RS,RS,RS,RS,IAC,UPF,IAC,IAC,IAC,IAC,L5,L5,L3,L5,L5,L5
Samsung/GearVRf,506,RA,RA,RA,RA,VF,RA,IAC,IIV,IIV,IIV,IIV,IIV,L5,L5,L5,L5,L5,L5
Samsung/GearVRf,510,VF,VF,VF,VF,SD,VF,GCE,GCE,GCE,GCE,GCE,GCE,L5,L5,L5,L5,L5,L5
Samsung/GearVRf,534,AF,RA,AF,AF,AF,AF,IIV,IIV,IIV,IIV,IIV,IIV,L4,L4,L4,L4,L4,L4
Samsung/GearVRf,617,AF,AF,IC,AF,AF,AF,TDI,TDI,TDI,TDI,TDI,TDI,L4,L4,L4,L4,L4,L4
Samsung/GearVRf,677,RS,RS,RS,RS,RS,RS,RLM,RLM,RLM,IAC,RLM,RLM,L4,L4,L4,L4,L4,L4
Samsung/GearVRf,812,VF,VF,VF,VF,VF,VF,RLM,RLM,RLM,RLM,RLM,RLM,L3,L1,L1,L1,L1,L1
